epoch,1_gd_loss,sgd_loss,adam_loss,gd_time,sgd_time,adam_time,2_gd_loss,sgd_loss,adam_loss,gd_time,sgd_time,adam_time,3_gd_loss,sgd_loss,adam_loss,gd_time,sgd_time,adam_time,4_gd_loss,sgd_loss,adam_loss,gd_time,sgd_time,adam_time,5_gd_loss,sgd_loss,adam_loss,gd_time,sgd_time,adam_time
1,0.144677,0.549416,0.049853,64,142,237,0.088370,0.294514,0.036990,33,110,197,0.127643,0.479941,0.044853,28,109,252,2.000000,2.000000,2.000000,34,119,204,2.000000,2.000000,2.000000,26,113,208
2,0.008668,0.061767,0.001862,96,269,443,0.008305,0.054039,0.001959,64,189,401,0.008282,0.058584,0.001861,46,203,536,2.000000,2.000000,2.000000,65,219,392,2.000000,2.000000,2.000000,69,203,431
3,0.005170,0.033199,0.000998,144,378,663,0.004934,0.030333,0.001051,79,283,633,0.004897,0.031810,0.001000,87,298,801,2.000000,2.000000,2.000000,85,341,634,2.000000,2.000000,2.000000,98,300,670
4,0.003722,0.022787,0.000610,191,553,884,0.003547,0.021134,0.000641,111,378,850,0.003514,0.021889,0.000611,111,392,1067,2.000000,2.000000,2.000000,116,452,872,2.000000,2.000000,2.000000,114,409,904
5,0.002911,0.017323,0.000388,286,775,1105,0.002775,0.016207,0.000407,142,473,1050,0.002748,0.016680,0.000388,127,487,1300,2.000000,2.000000,2.000000,148,589,1091,2.000000,2.000000,2.000000,145,520,1114
6,0.002388,0.013943,0.000250,334,965,1325,0.002280,0.013127,0.000262,158,569,1269,0.002258,0.013459,0.000249,158,580,1510,2.000000,2.000000,2.000000,180,723,1362,2.000000,2.000000,2.000000,177,624,1342
7,0.002023,0.011646,0.000161,382,1123,1545,0.001935,0.011020,0.000168,189,663,1477,0.001916,0.011270,0.000160,179,674,1761,2.000000,2.000000,2.000000,211,839,1642,2.000000,2.000000,2.000000,208,741,1546
8,0.001754,0.009987,0.000104,462,1330,1749,0.001680,0.009489,0.000108,205,789,1713,0.001665,0.009686,0.000103,206,774,2013,2.000000,2.000000,2.000000,242,956,1873,2.000000,2.000000,2.000000,239,861,1781
9,0.001547,0.008734,0.000066,526,1505,1953,0.001485,0.008326,0.000069,237,916,1917,0.001472,0.008488,0.000065,237,874,2233,2.000000,2.000000,2.000000,273,1089,2085,2.000000,2.000000,2.000000,255,961,1986
10,0.001384,0.007756,0.000042,589,1646,2190,0.001330,0.007415,0.000044,255,1070,2107,0.001319,0.007550,0.000041,253,974,2438,2.000000,2.000000,2.000000,305,1206,2289,2.000000,2.000000,2.000000,287,1057,2191
11,0.001251,0.006971,0.000027,750,1788,2442,0.001204,0.006681,0.000027,284,1262,2332,0.001195,0.006797,0.000026,289,1081,2649,2.000000,2.000000,2.000000,343,1339,2505,2.000000,2.000000,2.000000,325,1174,2404
12,0.001142,0.006328,0.000017,828,1946,2678,0.001101,0.006078,0.000017,315,1453,2537,0.001093,0.006179,0.000016,313,1181,2839,2.000000,2.000000,2.000000,368,1470,2709,2.000000,2.000000,2.000000,353,1271,2609
13,0.001050,0.005793,0.000010,891,2089,2914,0.001013,0.005574,0.000011,346,1627,2734,0.001006,0.005662,0.000010,332,1282,3050,2.000000,2.000000,2.000000,406,1596,2910,2.000000,2.000000,2.000000,380,1367,2837
14,0.000972,0.005339,0.000006,955,2281,3167,0.000939,0.005146,0.000007,362,1958,3000,0.000933,0.005225,0.000006,363,1376,3283,2.000000,2.000000,2.000000,435,1707,3128,2.000000,2.000000,2.000000,410,1477,3087
15,0.000904,0.004951,0.000004,1067,2464,3403,0.000874,0.004779,0.000004,393,2289,3317,0.000869,0.004850,0.000004,380,1456,3533,2.000000,2.000000,2.000000,466,1824,3360,2.000000,2.000000,2.000000,430,1587,3321
16,0.000846,0.004614,0.000002,1114,2645,3639,0.000818,0.004460,0.000003,425,2483,3547,0.000814,0.004524,0.000002,410,1557,3849,2.000000,2.000000,2.000000,498,1930,3576,2.000000,2.000000,2.000000,461,1695,3561
17,0.000794,0.004320,0.000002,1162,2805,3845,0.000769,0.004181,0.000002,441,2653,3772,0.000765,0.004239,0.000001,425,1658,4086,2.000000,2.000000,2.000000,527,2046,3800,2.000000,2.000000,2.000000,477,1808,3791
18,0.000748,0.004061,0.000001,1210,2996,4096,0.000725,0.003934,0.000001,474,2812,3957,0.000722,0.003988,0.000001,457,1757,4306,2.000000,2.000000,2.000000,546,2156,4006,2.000000,2.000000,2.000000,509,1908,4011
19,0.000708,0.003831,0.000001,1273,3139,4329,0.000686,0.003715,0.000001,489,2988,4161,0.000683,0.003764,0.000001,480,1857,4578,2.000000,2.000000,2.000000,578,2272,4209,2.000000,2.000000,2.000000,540,1997,4216
20,0.000671,0.003625,0.000000,1353,3313,4549,0.000651,0.003518,0.000000,520,3207,4382,0.000648,0.003564,0.000000,504,1957,4843,2.000000,2.000000,2.000000,609,2393,4398,2.000000,2.000000,2.000000,555,2108,4438
21,0.000638,0.003440,0.000000,1432,3487,4785,0.000620,0.003341,0.000000,536,3397,4630,0.000617,0.003384,0.000000,534,2060,5113,2.000000,2.000000,2.000000,641,2530,4622,2.000000,2.000000,2.000000,599,2231,4690
22,0.000608,0.003272,0.000000,1510,3645,5006,0.000591,0.003181,0.000000,568,3556,4899,0.000589,0.003221,0.000000,546,2154,5349,2.000000,2.000000,2.000000,669,2650,4842,2.000000,2.000000,2.000000,626,2338,4926
23,0.000581,0.003120,0.000000,1558,3786,5245,0.000565,0.003036,0.000000,583,3746,5200,0.000563,0.003073,0.000000,587,2248,5589,2.000000,2.000000,2.000000,697,2776,5052,2.000000,2.000000,2.000000,652,2433,5157
24,0.000556,0.002982,0.000000,1669,3897,5478,0.000541,0.002903,0.000000,615,3952,5484,0.000539,0.002938,0.000000,612,2358,5833,2.000000,2.000000,2.000000,718,2886,5258,2.000000,2.000000,2.000000,678,2543,5371
25,0.000533,0.002855,0.000000,1735,4007,5714,0.000519,0.002781,0.000000,646,4127,5718,0.000517,0.002815,0.000000,627,2453,6067,2.000000,2.000000,2.000000,749,2990,5480,2.000000,2.000000,2.000000,696,2637,5621
26,0.000512,0.002738,0.000000,1781,4117,5934,0.000499,0.002669,0.000000,663,4306,5924,0.000497,0.002701,0.000000,658,2557,6328,2.000000,2.000000,2.000000,765,3101,5711,2.000000,2.000000,2.000000,728,2724,5868
27,0.000493,0.002631,0.000000,1845,4243,6146,0.000480,0.002566,0.000000,694,4444,6129,0.000479,0.002596,0.000000,680,2657,6548,2.000000,2.000000,2.000000,796,3198,5917,2.000000,2.000000,2.000000,744,2835,6104
